timestamp,agent,task_id,step,total_steps,status

2025-12-24T10:13:46Z,TEST,test-task,1,1,triggered
2025-12-24T10:13:52Z,TEST,test-task,1,1,cancelled
2025-12-24T10:14:15Z,TEST,test-task,1,1,triggered
2025-12-24T10:14:22Z,TEST,test-task,1,1,cancelled
2025-12-24T10:21:17Z,AUDITOR,audit-auto-continue,1,1,triggered
2025-12-24T10:21:32Z,AUDITOR,audit-auto-continue,1,1,cancelled
2025-12-24T10:47:43Z,TESTING,km-integration-test,1,1,triggered
2025-12-24T11:07:15Z,TESTING,km-integration-test,1,1,cancelled
